Water Area,Scheme,Type,Priority Group,Zone/Location,Current Volume (ML),Maximum Volume (ML),Trading Headroom (ML)
Pioneer Valley,Pioneer River Water Supply Scheme,Supplemented,High Priority,Zone Pioneer 3,4439.0,11500.0,7061.0
Pioneer Valley,Pioneer River Water Supply Scheme,Supplemented,High Priority,Zone Pioneer 4,2780.0,4400.0,1620.0
Pioneer Valley,Pioneer River Water Supply Scheme,Supplemented,High Priority,Zone Silver Mcgregor 1,4537.0,6000.0,1463.0
Pioneer Valley,Pioneer River Water Supply Scheme,Supplemented,High Priority,Zone Teemburra 1,4886.0,6100.0,1214.0
Pioneer Valley,Pioneer River Water Supply Scheme,Supplemented,High Priority,Zone Bakers Creek 1,3000.0,4726.0,1726.0
Pioneer Valley,Pioneer River Water Supply Scheme,Supplemented,High Priority,Zone Pioneer 1,7510.0,17700.0,10190.0
Pioneer Valley,Pioneer River Water Supply Scheme,Supplemented,High Priority,Zone Pioneer 2,7972.0,14700.0,6728.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,High Priority,Proserpine Zone A,13357.0,16357.0,3000.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,High Priority,Proserpine Zone B,8643.0,15643.0,7000.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,High Priority,Proserpine Zone C,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,High Priority,Proserpine Zone D,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone A,9943.0,27426.0,17483.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone B,17933.0,36142.0,18209.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone C,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone D,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone A,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone B,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone C,3000.0,3000.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone D,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone A,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone B,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone C,0.0,0.0,0.0
Whitsunday Basin,Proserpine River Water Supply Scheme,Supplemented,Medium Priority,Proserpine Zone D,10000.0,10000.0,0.0
